pattern_prefix,count,max_gap,geomean_gap,median_gap,representative_repros,top_ops,models
sum_sum_sum,205,61.876322903551035,2.836865043829138,2.573070783958771,sum_sum_sum_45f02142ecfd;sum_sum_sum_f90d684d32cb;sum_sum_sum_dadf6aa035dd;sum_sum_sum_9e60972dd685;sum_sum_sum_2c925f59efff;sum_sum_sum_95dac16d4328;sum_sum_sum_afd118ca907d;sum_sum_sum_cd47d7ca4703;sum_sum_sum_82a3f0084247;sum_sum_sum_72d5ffa26b42;sum_sum_sum_6a2ad206248c;sum_sum_sum_8e6cde42e572,aten.unsqueeze.default:16;aten.mul.Tensor:14;aten.add.Tensor:7;aten.index_put.default:4;aten.sub.Tensor:4;aten.neg.default:3;aten.sum.dim_IntList:3;aten.squeeze.dims:2;aten.constant_pad_nd.default:1;aten.full.default:1;aten.le.Scalar:1;aten.relu.default:1,torchbench_pytorch_unet_train_001
sum,109,15.155210415077814,1.9578988147845102,1.5236236802984107,sum_adeaebad93f7;sum_18262b26934c;sum_3ee4028cab37;sum_7df61c52c7f8;sum_7ee057acd9bc;sum_34d3dca078b3;sum_bc4a942a8c4f;sum_14fe7b321763;sum_8a66186d1ffe;sum_617cd87647d6;sum_5a4992885bd6;sum_0becf9609ad7,aten.gather.default:4;prims.inductor_lookup_seed.default:4;aten.expand.default:3;prims.inductor_randint.default:3;<built-in function getitem>:2;aten.mul.Tensor:2;aten.sub.Tensor:2;aten.view.default:2;aten.add.Tensor:1;aten.cat.default:1;aten.slice.Tensor:1;aten.sort.default:1,torchbench_demucs_train_000
pointwise,178,14.557724457979456,1.9224472766867895,1.6729910545350557,pointwise_531d72f1b34a;pointwise_70c0751eb408;pointwise_a14dcfc06344;pointwise_a2382a85ee99;pointwise_f9c1d1b08ddb;pointwise_6d842b54b40d;pointwise_13f26d420251;pointwise_437415a3398d;pointwise_cf3acd87ba9e;pointwise_55a3cc897c83;pointwise_71e3a6c09140;pointwise_f2df04089ff4,aten.select.int:463;aten.slice.Tensor:253;aten.mul.Tensor:153;aten.select_scatter.default:150;aten.div.Tensor:75;aten.add.Tensor:72;aten.neg.default:58;aten.sub.Tensor:51;aten.unsqueeze.default:51;aten.copy.default:50;aten.full.default:35;aten.slice_scatter.default:33,torchbench_pyhpc_turbulent_kinetic_energy_infer_000
sum_sum,135,11.149567415939694,2.2696534351938755,2.0626703538920044,sum_sum_8bcd6e12dcd4;sum_sum_3219a09ab96a;sum_sum_6a14a9c9ba88;sum_sum_e9338369070e;sum_sum_a7c7ab7bfcf5;sum_sum_0930bd38b7d1;sum_sum_67d7103962e7;sum_sum_d73ef74614dc;sum_sum_4bd81dea302d;sum_sum_3c44d89daf3a;sum_sum_addc448a9236;sum_sum_ced249279c9d,aten.view.default:3;aten.slice.Tensor:2;aten.sum.dim_IntList:2;aten.where.self:2;aten.full.default:1;aten.scatter_add.default:1;prims._low_memory_max_pool_offsets_to_indices.default:1,torchbench_squeezenet1_1_train_001
amax_sum,38,10.81421273817569,3.090840358902364,3.1346733380250464,amax_sum_9940b361e5b4;amax_sum_4c524f75213e;amax_sum_67d7c2666a5c;amax_sum_7e55413cb344;amax_sum_5f0c26b7e967;amax_sum_68fe981b18dd;amax_sum_87e1fb077f24;amax_sum_4bd27b112605;amax_sum_93cb2fd0355b;amax_sum_35490be2986b;amax_sum_0f87f6568d0f;amax_sum_f5253e4f250e,aten.slice.Tensor:58;aten.permute.default:28;aten.view.default:27;aten.slice_scatter.default:22;aten.unsqueeze.default:15;aten.full.default:13;aten.copy.default:12;aten.select.int:12;aten.where.self:8;prims.convert_element_type.default:7;aten.expand.default:4;aten.select_scatter.default:4,torchbench_hf_Longformer_infer_002
var_mean_var_mean,12,8.303303517259987,2.5723096486113612,2.862102776115515,var_mean_var_mean_6d7a29cb97f1;var_mean_var_mean_40a0055bb26e;var_mean_var_mean_73e1a842318f;var_mean_var_mean_aabd7680d8e0;var_mean_var_mean_0795d88a1e39;var_mean_var_mean_7eb8a9047c3e;var_mean_var_mean_8c8eb33a711a;var_mean_var_mean_ca75e017814e;var_mean_var_mean_de5c360021d3;var_mean_var_mean_98a1510ddc30;var_mean_var_mean_2989608c4b10;var_mean_var_mean_99567a16bff5,aten.mul.Tensor:14;aten.unsqueeze.default:11;aten.add.Tensor:8;<built-in function getitem>:6;aten.squeeze.dims:5;aten.copy_.default:4;aten.sub.Tensor:3;aten.relu.default:2;aten.rsqrt.default:2;aten.var_mean.correction:2;prims._low_memory_max_pool_with_offsets.default:1,torchbench_densenet121_train_000
var_mean,224,7.520309444074449,1.6730973778934104,1.5878004486401303,var_mean_765fb8f2c85e;var_mean_f0d7c08a0622;var_mean_598830735cf6;var_mean_6d9f14e83fbb;var_mean_21efaf61742a;var_mean_2f7685c1567b;var_mean_83a48287f334;var_mean_cf2474e318ae;var_mean_0a0eec8ae477;var_mean_b0e2cade591e;var_mean_6f5e73770101;var_mean_5b0c15caa439,aten.mul.Tensor:7;<built-in function getitem>:4;aten.add.Tensor:4;aten.unsqueeze.default:4;aten.copy_.default:2;aten.squeeze.dims:2;aten.avg_pool2d.default:1;aten.relu.default:1;aten.rsqrt.default:1;aten.sub.Tensor:1;aten.var_mean.correction:1;prims._low_memory_max_pool_with_offsets.default:1,timm_adv_inception_v3_train;timm_adv_inception_v3_train_000;timm_inception_v3_train;timm_inception_v3_train_000;timm_timm_adv_inception_v3_train_train_000;timm_timm_inception_v3_train_train_000
var_mean_var_mean_var_mean,6,5.673386866230065,4.340917462742154,4.86132831928903,var_mean_var_mean_var_mean_0407b3e7c77f;var_mean_var_mean_var_mean_9267280d8024;var_mean_var_mean_var_mean_97062ec87370;var_mean_var_mean_var_mean_850152d806da;var_mean_var_mean_var_mean_5d12643e9b78;var_mean_var_mean_var_mean_850dfa63ec81,aten.mul.Tensor:28;aten.add.Tensor:16;aten.unsqueeze.default:16;<built-in function getitem>:8;aten.copy_.default:8;aten.squeeze.dims:8;aten.relu.default:4;aten.rsqrt.default:4;aten.sub.Tensor:4;aten.var_mean.correction:4;aten.avg_pool2d.default:1;aten.cat.default:1,timm_adv_inception_v3_train;timm_adv_inception_v3_train_000;timm_inception_v3_train;timm_inception_v3_train_000;timm_timm_adv_inception_v3_train_train_000;timm_timm_inception_v3_train_train_000
amax_sum_sum,30,5.223049013210932,2.1701272777915137,2.128647883590415,amax_sum_sum_dc96a87ba8db;amax_sum_sum_9e768dff4978;amax_sum_sum_1bad0f362efd;amax_sum_sum_8b606a2377c7;amax_sum_sum_e2f518f0a274;amax_sum_sum_b9ac8700504c;amax_sum_sum_6fd07d12d98a;amax_sum_sum_86d05d6810f4;amax_sum_sum_31600750c3c4;amax_sum_sum_d85e67b00643;amax_sum_sum_f9833ae619a1;amax_sum_sum_0e37ca9164b3,prims.convert_element_type.default:2;aten.amax.default:1;aten.div.Tensor:1;aten.exp.default:1;aten.sub.Tensor:1;aten.sum.default:1;aten.sum.dim_IntList:1,genai_SoftmaxBackward_000
amax_sum_amax,3,5.110783044183237,4.613995693456764,5.009360803115043,amax_sum_amax_2a81770def44;amax_sum_amax_68fa105ccaf0;amax_sum_amax_9faf4a02126a,aten.add.Tensor:11;aten.unsqueeze.default:8;aten.mul.Tensor:7;aten.div.Tensor:6;aten.full.default:5;prims.convert_element_type.default:5;aten.expand.default:4;aten.permute.default:4;aten.view.default:4;aten.where.self:4;aten.gt.Scalar:3;aten.minimum.default:3,torchbench_hf_T5_base_train_000
argmax_mean,2,4.601351204308625,3.224214198362742,4.601351204308625,argmax_mean_9cf9e9271ff1;argmax_mean_180a59791f51,aten.view.default:12;aten.expand.default:7;aten.cat.default:5;aten.slice.Tensor:4;aten.add.Tensor:3;aten.mul.Tensor:3;aten.permute.default:3;<built-in function getitem>:2;aten.gather.default:2;aten.remainder.Scalar:2;aten.repeat.default:2;aten.unsqueeze.default:2,torchbench_hf_Reformer_infer_005
mean,51,4.4470590464238064,1.8503350659761812,1.8095236599349664,mean_5c93e9826aa8;mean_d0fc206717a8;mean_f7170c220032;mean_b22538109e2c;mean_148ad2fc17ca;mean_e9b5d856a37d;mean_eccc5dff9f55;mean_b1d8f8a4704b;mean_f362a8f86f2e;mean_7874ce26c7f3;mean_cf12f53df7dd;mean_feaf8e3a5f0b,aten.unsqueeze.default:48;aten.mul.Tensor:18;aten.add.Tensor:12;aten.reciprocal.default:6;aten.relu.default:6;aten.sqrt.default:6;aten.sub.Tensor:6;aten.cat.default:3;aten.as_strided.default:1;aten.mean.dim:1;aten.view.default:1,timm_adv_inception_v3_infer_000;timm_inception_v3_infer_000;timm_timm_adv_inception_v3_infer_infer_000;timm_timm_inception_v3_infer_infer_000
var_mean_mean,29,3.803709726392497,2.534296349291852,2.5167036860032552,var_mean_mean_1e867cdb78f5;var_mean_mean_0805988a80e9;var_mean_mean_8d6fc761298a;var_mean_mean_e2206aa32217;var_mean_mean_254b25297850;var_mean_mean_6b2793eaa579;var_mean_mean_7a446f7d0ed8;var_mean_mean_ebf25f51023b;var_mean_mean_0593cda589d5;var_mean_mean_f6d34778b88d;var_mean_mean_2fedd7a79265;var_mean_mean_3480e8831bac,aten.mul.Tensor:7;aten.add.Tensor:4;aten.unsqueeze.default:4;<built-in function getitem>:2;aten.copy_.default:2;aten.squeeze.dims:2;aten.cat.default:1;aten.mean.dim:1;aten.relu.default:1;aten.rsqrt.default:1;aten.sub.Tensor:1;aten.var_mean.correction:1,timm_ghostnet_100_train;timm_ghostnet_100_train_000;timm_timm_ghostnet_100_train_train_000
amax_sum_any,21,3.7447445518372864,2.5617994726146605,2.6477478825782574,amax_sum_any_24355de03713;amax_sum_any_7c109c56b046;amax_sum_any_a6daa5fac790;amax_sum_any_d16c257aa03e;amax_sum_any_64da678446f9;amax_sum_any_fd11cc31d3d3;amax_sum_any_5686b4ede363;amax_sum_any_e20fbe84102b;amax_sum_any_0986fbf8aadc;amax_sum_any_29e1adb86456;amax_sum_any_3e6e6f246ff6;amax_sum_any_e1163072ce50,aten.full.default:3;aten.logical_not.default:2;aten.mul.Tensor:2;aten.view.default:2;aten.where.self:2;aten.add.Tensor:1;aten.amax.default:1;aten.any.dim:1;aten.div.Tensor:1;aten.eq.Scalar:1;aten.exp.default:1;aten.expand.default:1,torchbench_hf_Bart_train_004
sum_mean,4,3.2739542396661565,2.309266356151215,2.494949456346311,sum_mean_39228c93d6a4;sum_mean_273a847a963c;sum_mean_be3cca3d51c6;sum_mean_6ea3cb4a159b,aten.mul.Tensor:4;aten.add.Tensor:3;aten.pow.Tensor_Scalar:2;aten.view.default:2;aten.addcmul.default:1;aten.div.Tensor:1;aten.erf.default:1;aten.mean.dim:1;aten.sum.dim_IntList:1,timm_convnextv2_nano.fcmae_ft_in22k_in1k_train_000;timm_timm_convnextv2_nano.fcmae_ft_in22k_in1k_train_train_000
mean_mean,5,3.0968750125055524,2.356235660880761,2.516616397344851,mean_mean_50d3de630629;mean_mean_1b98d81214e6;mean_mean_fbdbd1645f6a;mean_mean_6cb471f41ecf;mean_mean_fac851fa5f98,aten.mul.Tensor:11;aten.unsqueeze.default:8;aten.slice.Tensor:7;prims.convert_element_type.default:7;aten.expand.default:6;aten.view.default:6;aten.add.Tensor:5;aten.cat.default:3;aten.permute.default:3;aten.clone.default:2;aten.mean.dim:2;aten.neg.default:2,vllm_Qwen_Qwen3-0.6B_000;vllm_Qwen_Qwen3-30B-A3B_000
var_mean_var_mean_mean,3,2.9943819796055178,2.8435453197264677,2.906250011368684,var_mean_var_mean_mean_e12f05530897;var_mean_var_mean_mean_93065d5c677b;var_mean_var_mean_mean_b49a8ed53342,aten.mul.Tensor:14;aten.add.Tensor:9;aten.unsqueeze.default:8;<built-in function getitem>:4;aten.copy_.default:4;aten.squeeze.dims:4;aten.rsqrt.default:2;aten.sub.Tensor:2;aten.var_mean.correction:2;aten.as_strided.default:1;aten.mean.dim:1;aten.relu.default:1,timm_repvgg_a2_train_000;timm_timm_repvgg_a2_train_train_000
mean_var,4,2.8730335294430036,1.9971466211940152,2.628407392489742,mean_var_5f74618c3485;mean_var_e46ebb5a28fe;mean_var_d333e54cfcb6;mean_var_2a871bf52561,aten.mul.Tensor:5;aten.add.Tensor:3;aten.gt.Scalar:2;aten.view.default:2;prims.inductor_lookup_seed.default:2;prims.inductor_random.default:2;aten.div.Tensor:1;aten.mean.dim:1;aten.sqrt.default:1;aten.sub.Tensor:1;aten.var.correction:1,torchbench_BERT_pytorch_train_000
var_mean_any,1,2.573459652229926,2.573459652229926,2.573459652229926,var_mean_any_e86b9ea56684,aten.add.Tensor:3;aten.mul.Tensor:3;<built-in function getitem>:2;aten.logical_not.default:2;prims.convert_element_type.default:2;aten.abs.default:1;aten.any.dims:1;aten.eq.Tensor:1;aten.ne.Scalar:1;aten.rsqrt.default:1;aten.sub.Tensor:1;aten.var_mean.correction:1,torchbench_hf_Bart_infer_003
sum_sum_mean,2,2.5311419054490027,2.516399078784994,2.5311419054490027,sum_sum_mean_1dfbbe76c078;sum_sum_mean_9af96955f8cc,aten.view.default:6;aten.mul.Tensor:3;prims.convert_element_type.default:3;aten.add.Tensor:2;aten.index.Tensor:2;aten.sum.dim_IntList:2;aten.div.Tensor:1;aten.empty.memory_format:1;aten.full.default:1;aten.index_put.default:1;aten.mean.dim:1;aten.pow.Tensor_Scalar:1,vllm_Qwen_Qwen3-30B-A3B_000
var_mean_sum_mean,1,2.1855345362245213,2.1855345362245213,2.1855345362245213,var_mean_sum_mean_c177cfce7234,aten.mul.Tensor:7;aten.add.Tensor:4;aten.unsqueeze.default:4;<built-in function getitem>:2;aten.copy_.default:2;aten.squeeze.dims:2;aten.mean.dim:1;aten.relu.default:1;aten.rsqrt.default:1;aten.sub.Tensor:1;aten.sum.dim_IntList:1;aten.var_mean.correction:1,torchbench_timm_resnest_train_000
any_amax_sum,9,1.9968354188469597,1.2683371904724758,1.1121832913545406,any_amax_sum_2da4fabb8348;any_amax_sum_56d491110e60;any_amax_sum_c1a313554420;any_amax_sum_727a4ae37fb6;any_amax_sum_70169d16c71e;any_amax_sum_c34514991dfb;any_amax_sum_0815d0a11243;any_amax_sum_97b43144672a;any_amax_sum_4a963b47b28d,aten.unsqueeze.default:9;aten.add.Tensor:7;aten.full.default:5;prims.iota.default:4;aten.div.Tensor:3;aten.where.self:3;aten.expand.default:2;aten.logical_not.default:2;aten.minimum.default:2;aten.sub.Tensor:2;aten.view.default:2;prims.convert_element_type.default:2,hf_MT5ForConditionalGeneration_infer_000
any_mean,5,1.708333268770438,1.6111036290187823,1.6018517851056702,any_mean_fde44ec669a9;any_mean_38ea597e5c87;any_mean_6b05ef27be02;any_mean_33b10ff8a837;any_mean_417d9efb98a0,aten.view.default:4;prims.convert_element_type.default:4;aten.add.Tensor:2;aten.full.default:2;aten.mul.Tensor:2;aten.any.default:1;aten.clamp_max.Tensor:1;aten.clamp_min.Tensor:1;aten.isinf.default:1;aten.mean.dim:1;aten.neg.default:1;aten.pow.Tensor_Scalar:1,torchbench_hf_T5_base_infer_000;torchbench_hf_T5_infer_000
var_mean_sum,1,1.7077757432581215,1.7077757432581215,1.7077757432581215,var_mean_sum_87c8c4a61b33,<built-in function getitem>:2;aten.mul.Tensor:2;prims.convert_element_type.default:2;aten.add.Tensor:1;aten.rsqrt.default:1;aten.sub.Tensor:1;aten.sum.default:1;aten.var_mean.correction:1,genai_LayerNormBackward_000
amax_argmax_sum,1,1.631016030296621,1.631016030296621,1.631016030296621,amax_argmax_sum_5dfabd070411,,
mean_var_mean,8,1.61676635018721,1.317132907105588,1.3895348886397767,mean_var_mean_3c4ea6d8f342;mean_var_mean_9d590f58ecc9;mean_var_mean_c9089e261699;mean_var_mean_cf650837b7b1;mean_var_mean_e6c3cd7f84ea;mean_var_mean_d6e91c72f94d;mean_var_mean_f69b8a5457fd;mean_var_mean_9f6d83adf6c4,aten.add.Tensor:3;<built-in function getitem>:2;aten.mul.Tensor:2;aten.permute.default:2;aten.as_strided.default:1;aten.mean.dim:1;aten.rsqrt.default:1;aten.sub.Tensor:1;aten.var_mean.correction:1;aten.view.default:1,timm_convnextv2_nano.fcmae_ft_in22k_in1k_infer_000;timm_timm_convnextv2_nano.fcmae_ft_in22k_in1k_infer_infer_000
argmax_amax_sum,1,1.497382179008367,1.497382179008367,1.497382179008367,argmax_amax_sum_fd72c2ef2d40,aten.ne.Scalar:4;aten.full.default:2;aten.sub.Tensor:2;aten.sum.default:2;aten.where.self:2;prims.convert_element_type.default:2;prims.iota.default:2;aten.amax.default:1;aten.argmax.default:1;aten.div.Tensor:1;aten.exp.default:1;aten.gather.default:1,hf_GPT2ForSequenceClassification_infer_000;hf_GPTNeoForSequenceClassification_infer_000
mean_sum,1,1.4394406923209093,1.4394406923209093,1.4394406923209093,mean_sum_e5a21319f6c6,aten.mul.Tensor:2;prims.convert_element_type.default:2;aten.add.Tensor:1;aten.mean.dim:1;aten.pow.Tensor_Scalar:1;aten.rsqrt.default:1;aten.sum.default:1,genai_RMSNormBackward_000
max,1,1.1187499977262632,1.1187499977262632,1.1187499977262632,max_448f6b3c8f1d,aten.max.default:1,torchbench_hf_Reformer_infer_002
