repro_id,repro_path,shape_label,family,oracle_impl,oracle_path,hardware,device_name,git_commit,compiled_us,coord_descent_us,best_compile_us,memcopy_sol_us,oracle_us,total_bytes,n_kernels,oracle_over_sol,speedup_vs_best_compile,correct,max_abs_diff,tolerance,n_warmup,n_rep,timestamp,notes
amax_sum_sum_dc96a87ba8db,repros/canonical/amax_sum_sum_dc96a87ba8db/repro.py,8192x262144,online_softmax_cross_entropy,triton_online_softmax_sum_two_stage,repros/canonical/amax_sum_sum_dc96a87ba8db/oracle_softmax_sum.py,B200,NVIDIA B200,3be1b1ac8948b762711998aa791a80af29f574f8,3541.055917739868,3257.3440074920654,3257.3440074920654,623.6479878425598,1638.368010520935,4294967298,2,2.6270717495436573,1.9881638231305316,not_checked,,not_checked,10,30,2026-06-03T11:07:15.027379+00:00,Oracle avoids materializing full bf16 softmax; exact repro-equivalent scalar sum within bf16 tolerance.
sum_18262b26934c,repros/canonical/sum_18262b26934c/repro.py,default,structured_pool_upsample_backward_reduce,triton_maxpool_direct_reduce,repros/canonical/sum_18262b26934c/oracle_maxpool_direct_reduce.py,B200,NVIDIA B200,3be1b1ac8948b762711998aa791a80af29f574f8,1415.1040315628052,1304.479956626892,1304.479956626892,135.83999872207642,579.456,899350788,4,4.26572442175552,2.2512148577750373,not_checked,,not_checked,3,10,2026-06-03T11:19:59.293070+00:00,not_checked; local --no-append run
sum_sum_sum_f90d684d32cb,repros/canonical/sum_sum_sum_f90d684d32cb/repro.py,default,structured_pool_upsample_backward_reduce,torch_direct_structured_upsample_reduce,repros/canonical/sum_sum_sum_f90d684d32cb/oracle_structured_upsample_reduce.py,B200,NVIDIA B200,3be1b1ac8948b762711998aa791a80af29f574f8,4347.008228302002,8097.79167175293,4347.008228302002,119.64800208806992,93505.686,784484956,6,781.5064553369875,0.04648923947044249,not_checked,,not_checked,3,10,2026-06-03T11:19:59.293089+00:00,not a true floor; torch-direct scaffold timing
sum_sum_sum_70d71fcb0d68,repros/canonical/sum_sum_sum_70d71fcb0d68/repro.py,default,multi_output_reduction_templates,torch_direct_multi_output_reduction,repros/canonical/sum_sum_sum_70d71fcb0d68/oracle_multi_output_reduction.py,B200,NVIDIA B200,3be1b1ac8948b762711998aa791a80af29f574f8,992.0960068702698,939.9679899215698,939.9679899215698,154.52800691127777,6579.374,1027773956,7,42.577226818032706,0.1428658699021472,not_checked,,not_checked,3,10,2026-06-03T11:19:59.293096+00:00,not a true floor; torch-direct scaffold timing
amax_sum_3ed297ef02cd,repros/canonical/amax_sum_3ed297ef02cd/repro.py,default,online_softmax_cross_entropy,triton_online_softmax,repros/canonical/amax_sum_3ed297ef02cd/oracle_online_softmax.py,B200,NVIDIA B200,3be1b1ac8948b762711998aa791a80af29f574f8,2078.9,,2078.9,1243.1679964065552,1942.9,8589934592.0,1,1.5628619829468409,1.0699984559164135,true,4.768372e-07,1e-2,3,10,2026-06-03T13:58:11.684730+00:00,true Triton online softmax oracle; script auto-append normalized after schema mismatch
sum_sum_cdaed89f373c,repros/canonical/sum_sum_cdaed89f373c/repro.py,default,multi_output_reduction_templates,triton_fused_reduction_epilogue,repros/canonical/sum_sum_cdaed89f373c/oracle_multi_output_reduction.py,B200,NVIDIA B200,3be1b1ac8948b762711998aa791a80af29f574f8,2517.035,2521.824,2517.035,611.3280057907104,1492.558,4213179652.0,7,2.441501102292017,1.6863900766335378,not_checked,,not_checked,,,2026-06-03T13:58:11.684730+00:00,"true fused reduction+epilogue oracle; full upstream version measured 15639.680us, oracle excludes upstream work"
sum_sum_6a14a9c9ba88,repros/canonical/sum_sum_6a14a9c9ba88/repro.py,default,multi_output_reduction_templates,triton_dual_reduction_pointwise,repros/canonical/sum_sum_6a14a9c9ba88/oracle_multi_output_reduction.py,B200,NVIDIA B200,3be1b1ac8948b762711998aa791a80af29f574f8,3394.4,3894.8,3394.4,242.5920069217682,2491.8,1634444548.0,8,10.271566782509712,1.362228108194879,not_checked,,not_checked,,,2026-06-03T13:58:11.684730+00:00,partial true oracle for fused dual-reduction+post-reduction pointwise; scatter_add/maxpool backward precomputed
pointwise_71e3a6c09140,repros/canonical/pointwise_71e3a6c09140/repro.py,layout_indexing_stencil_fusion,triton-fused,repros/canonical/pointwise_71e3a6c09140/oracle_stencil_fusion.py,unknown,NVIDIA B200,3be1b1ac8948b762711998aa791a80af29f574f8,1318.886992521584,not_checked,nan,not_checked,10,50,2026-06-03T14:15:30.808222+00:00,"Fused BN-affine+ReLU+MaxPool avoids materializing [128,64,147,147] intermediates."
pointwise_8793407401ab,repros/canonical/pointwise_8793407401ab/repro.py,layout_indexing_stencil_fusion,triton-fused,repros/canonical/pointwise_8793407401ab/oracle_stencil_fusion.py,unknown,NVIDIA B200,3be1b1ac8948b762711998aa791a80af29f574f8,3109.2569697648287,not_checked,nan,not_checked,10,50,2026-06-03T14:15:34.468323+00:00,"Fused BN+ReLU+bilinear upsample+pad+cat avoids [8,64,640,958] intermediate materializations."
pointwise_13f26d420251,repros/canonical/pointwise_13f26d420251/repro.py,layout_indexing_stencil_fusion,triton-fused,repros/canonical/pointwise_13f26d420251/oracle_stencil_fusion.py,unknown,NVIDIA B200,3be1b1ac8948b762711998aa791a80af29f574f8,1665.9810207784176,not_checked,nan,not_checked,10,50,2026-06-03T14:15:37.976726+00:00,"Fused BN-affine+ReLU+MaxPool avoids [128,192,71,71] intermediates; AvgPool separate."
pointwise_485ad74a8b0e,repros/canonical/pointwise_485ad74a8b0e/repro.py,layout_indexing_stencil_fusion,triton-fused,repros/canonical/pointwise_485ad74a8b0e/oracle_stencil_fusion.py,unknown,NVIDIA B200,3be1b1ac8948b762711998aa791a80af29f574f8,55284.780100919306,not_checked,nan,not_checked,10,50,2026-06-03T14:15:45.788708+00:00,"Fused ReLU+MaxPool avoids materializing [512,64,111,111] f16 relu intermediate."
sum_sum_8bcd6e12dcd4,repros/canonical/sum_sum_8bcd6e12dcd4/repro.py,torchbench_squeezenet1_1_train_001_c1f46ce0,structured_pool_upsample_backward_reduce,fused-scatter-reduce,repros/canonical/sum_sum_8bcd6e12dcd4/oracle_structured_scatter_reduce.py,unknown,NVIDIA B200,3be1b1ac8948b762711998aa791a80af29f574f8,880.4799914360046,782.4320197105408,782.4320197105408,70.17599791288376,5006.73393253237,437125636,6,71.34538989737933,0.15627593362341752,not_checked,nan,not_checked,10,100,2026-06-03T14:15:54.776067+00:00,"Fused scatter-reduce oracle: bypasses [65536,3025] intermediate via gather-mask-reduce."
2026-06-03T15:02:37.351363+00:00,amax_sum_3ed297ef02cd,triton_online_softmax,"bf16[8192,262144]",1951.0,,8589934592,4.403,2564.2,131.4
pointwise_13f26d420251,repros/canonical/pointwise_13f26d420251/repro.py,layout_indexing_stencil_fusion,triton-fused,repros/canonical/pointwise_13f26d420251/oracle_stencil_fusion.py,unknown,NVIDIA B200,68e31fc08d5584f52b9c23c951c222426ba010cc,1665.5400395393372,False,8,"rtol=0.0001,atol=0.001",25,100,2026-06-03T20:08:06.398129+00:00,"Fused BN-affine+ReLU+MaxPool avoids [128,192,71,71] intermediates; AvgPool separate."
pointwise_485ad74a8b0e,repros/canonical/pointwise_485ad74a8b0e/repro.py,layout_indexing_stencil_fusion,triton-fused,repros/canonical/pointwise_485ad74a8b0e/oracle_stencil_fusion.py,unknown,NVIDIA B200,68e31fc08d5584f52b9c23c951c222426ba010cc,55273.67896866053,True,0.0,"rtol=0.001,atol=0.001",25,100,2026-06-03T20:08:17.189024+00:00,"Fused ReLU+MaxPool avoids materializing [512,64,111,111] f16 relu intermediate."
pointwise_71e3a6c09140,repros/canonical/pointwise_71e3a6c09140/repro.py,layout_indexing_stencil_fusion,triton-fused,repros/canonical/pointwise_71e3a6c09140/oracle_stencil_fusion.py,unknown,NVIDIA B200,68e31fc08d5584f52b9c23c951c222426ba010cc,1316.8150326237082,False,nan,"rtol=0.0001,atol=0.001",25,100,2026-06-03T20:08:23.387143+00:00,"Fused BN-affine+ReLU+MaxPool avoids materializing [128,64,147,147] intermediates."
pointwise_8793407401ab,repros/canonical/pointwise_8793407401ab/repro.py,layout_indexing_stencil_fusion,triton-fused,repros/canonical/pointwise_8793407401ab/oracle_stencil_fusion.py,unknown,NVIDIA B200,68e31fc08d5584f52b9c23c951c222426ba010cc,3110.251040197909,False,nan,"rtol=0.0001,atol=0.001",25,100,2026-06-03T20:08:26.846631+00:00,"Fused BN+ReLU+bilinear upsample+pad+cat avoids [8,64,640,958] intermediate materializations."
sum_3ee4028cab37,repros/canonical/sum_3ee4028cab37/repro.py,torchbench_vgg16_train_001_26bbe98b,structured_pool_upsample_backward_reduce,fused-scatter-reduce,repros/canonical/sum_3ee4028cab37/oracle_structured_scatter_reduce.py,unknown,NVIDIA B200,68e31fc08d5584f52b9c23c951c222426ba010cc,704.4159770011902,651.0720252990723,651.0720252990723,68.7360018491745,5496.87200691551,462422532,4,79.97078472758923,0.11844409411024506,True,0.0625,"rtol=0.0001,atol=0.001",25,100,2026-06-03T20:08:43.024770+00:00,Fused scatter-reduce oracle: bypasses [16384x12544] intermediate via gather-mask-reduce over source.
sum_adeaebad93f7,repros/canonical/sum_adeaebad93f7/repro.py,demucs_train_64x5x2x426888_default,irregular_gather_reduce,torch-fused,repros/canonical/sum_adeaebad93f7/oracle_fused_gather_reduce.py,unknown,NVIDIA B200,68e31fc08d5584f52b9c23c951c222426ba010cc,2440.2880668640137,2434.0479373931885,2434.0479373931885,160.60799360275269,4928.753012791276,1070255104,3,30.68809280428494,0.4938466040144962,False,16.478694915771484,"rtol=0.0001,atol=0.001",25,100,2026-06-03T20:09:14.935139+00:00,Torch direct fused-index scaffold; see Triton TODO for one-pass irregular gather-reduce plan.
sum_sum_8bcd6e12dcd4,repros/canonical/sum_sum_8bcd6e12dcd4/repro.py,torchbench_squeezenet1_1_train_001_c1f46ce0,structured_pool_upsample_backward_reduce,fused-scatter-reduce,repros/canonical/sum_sum_8bcd6e12dcd4/oracle_structured_scatter_reduce.py,unknown,NVIDIA B200,68e31fc08d5584f52b9c23c951c222426ba010cc,880.4799914360046,782.4320197105408,782.4320197105408,70.17599791288376,5004.888982512057,437125636,6,71.31909956913059,0.15633354155196905,True,0.03125,"rtol=0.0001,atol=0.001",25,100,2026-06-03T20:10:24.501720+00:00,"Fused scatter-reduce oracle: bypasses [65536,3025] intermediate via gather-mask-reduce."
sum_sum_sum_afd118ca907d,repros/canonical/sum_sum_sum_afd118ca907d/repro.py,8x8x16x16,fused_softmax_backward_attention_backward,torch-direct,repros/canonical/sum_sum_sum_afd118ca907d/oracle_softmax_backward.py,unknown,NVIDIA B200,68e31fc08d5584f52b9c23c951c222426ba010cc,6386.559963226318,6364.192008972168,6364.192008972168,654.2080044746399,450.86933144678676,4480044036,6,0.6891834529124361,14.11538014473112,not_checked,nan,not_checked,10,30,2026-06-03T20:11:04.438180+00:00,Torch direct softmax-backward scaffold; see Triton TODO for fused attention-backward and bucket accumulation plan.
sum_sum_sum_45f02142ecfd,repros/canonical/sum_sum_sum_45f02142ecfd/repro.py,torchbench_pytorch_unet_train_001_8287cdf2,structured_pool_upsample_backward_reduce,fused-scatter-reduce,repros/canonical/sum_sum_sum_45f02142ecfd/oracle_structured_scatter_reduce.py,unknown,NVIDIA B200,68e31fc08d5584f52b9c23c951c222426ba010cc,31774.71923828125,14377.087593078613,14377.087593078613,232.35200345516205,184960.6450414285,1570931420,11,796.0363684883016,0.07773052256526437,False,16.0,"rtol=0.001,atol=0.01",25,100,2026-06-03T20:12:01.389308+00:00,Fused bilinear scatter + BN backward reduction; avoids separate reduction passes.
sum_sum_sum_70d71fcb0d68,repros/canonical/sum_sum_sum_70d71fcb0d68/repro.py,128x320x56x56_default,multi_output_reduction,torch-direct,repros/canonical/sum_sum_sum_70d71fcb0d68/oracle_multi_output_reduction.py,unknown,NVIDIA B200,68e31fc08d5584f52b9c23c951c222426ba010cc,992.0960068702698,939.9679899215698,939.9679899215698,154.52800691127777,6573.44504725188,1027773956,7,42.53885867450567,0.14299472851218806,True,0.1328125,"rtol=0.0001,atol=0.001",25,100,2026-06-03T20:12:30.380852+00:00,Torch direct shared-expression scaffold; see Triton TODO for one-pass multi-output reduction plan.
sum_sum_sum_7b24a3457260,repros/canonical/sum_sum_sum_7b24a3457260/repro.py,torchbench_hf_t5_base_train_001_7966e243,multi_output_reduction,torch-direct,repros/canonical/sum_sum_sum_7b24a3457260/oracle_multi_output_reduction.py,unknown,NVIDIA B200,68e31fc08d5584f52b9c23c951c222426ba010cc,7415.808200836182,7445.6000328063965,7415.808200836182,1676.31995677948,26461.648987606168,11543515140,6,15.785559839330363,0.28024739517592123,False,268435456.0,"rtol=0.0001,atol=0.001",25,100,2026-06-03T20:12:36.983436+00:00,Torch direct T5 attention multi-output reduction scaffold; see Triton TODO.
sum_sum_sum_8e6cde42e572,repros/canonical/sum_sum_sum_8e6cde42e572/repro.py,torchbench_pytorch_unet_train_001_90a2f096,structured_scatter_reduce,torch-direct,repros/canonical/sum_sum_sum_8e6cde42e572/oracle_structured_upsample_reduce.py,unknown,NVIDIA B200,68e31fc08d5584f52b9c23c951c222426ba010cc,3047.424077987671,2829.375982284546,2829.375982284546,424.8960018157959,18610.21399963647,2906359300,8,43.79945662022141,0.15203350065398574,True,4.0,"rtol=0.0001,atol=0.001",25,100,2026-06-03T20:12:53.628624+00:00,Torch direct structured scatter/unpool + BN/ReLU reduction scaffold; Triton exact kernel TODO.
sum_sum_sum_afd118ca907d,repros/canonical/sum_sum_sum_afd118ca907d/repro.py,8x8x16x16,fused_softmax_backward_attention_backward,torch-direct,repros/canonical/sum_sum_sum_afd118ca907d/oracle_softmax_backward.py,unknown,NVIDIA B200,68e31fc08d5584f52b9c23c951c222426ba010cc,6386.559963226318,6364.192008972168,6364.192008972168,654.2080044746399,398.88030965812504,4480044036,6,0.6097148107786374,15.955142068624124,True,0.0,"rtol=0.0001,atol=0.001",25,100,2026-06-03T20:13:09.432669+00:00,Torch direct softmax-backward scaffold; see Triton TODO for fused attention-backward and bucket accumulation plan.
sum_sum_sum_dadf6aa035dd,repros/canonical/sum_sum_sum_dadf6aa035dd/repro.py,torchbench_pytorch_unet_train_001_14c7e53c,structured_pool_upsample_backward_reduce,fused-scatter-reduce,repros/canonical/sum_sum_sum_dadf6aa035dd/oracle_structured_scatter_reduce.py,unknown,NVIDIA B200,68e31fc08d5584f52b9c23c951c222426ba010cc,1510.3039741516113,1370.1759576797485,1370.1759576797485,63.45599889755249,45519.910054281354,391264028,6,717.346048366076,0.030100585788632887,False,1.0,"rtol=0.001,atol=0.01",25,100,2026-06-03T20:13:28.257488+00:00,Fused bilinear scatter + BN backward reduction; avoids separate reduction passes.
sum_sum_sum_f90d684d32cb,repros/canonical/sum_sum_sum_f90d684d32cb/repro.py,torchbench_pytorch_unet_train_001_8bfb0b5d,structured_upsample_reduce,torch-direct,repros/canonical/sum_sum_sum_f90d684d32cb/oracle_structured_upsample_reduce.py,unknown,NVIDIA B200,68e31fc08d5584f52b9c23c951c222426ba010cc,4347.008228302002,8097.79167175293,4347.008228302002,119.64800208806992,93423.96003194153,784484956,6,780.823401991907,0.04652990760417098,True,0.0625,"rtol=0.0001,atol=0.001",25,100,2026-06-03T20:13:53.126583+00:00,Torch direct structured upsample + BN/ReLU reduction scaffold; Triton exact kernel TODO.
amax_sum_4fb4f9a0bf43,repros/canonical/amax_sum_4fb4f9a0bf43/repro.py,default,online_softmax_cross_entropy,triton_online_softmax_row,repros/canonical/amax_sum_4fb4f9a0bf43/oracle_online_softmax.py,B200,NVIDIA B200,c0614d3a,41.216,41.216,37.952,25.166,38.592,201326592,1,1.534,0.983,PASS,1.525879e-05,rtol=5e-3 atol=5e-4,10,100,2026-06-03T20:45:50.402084+00:00,BANDWIDTH_BOUND: combo_kernels config (37.952us) beats oracle (38.592us); valid_floor=False; diagnosis-only
