repro_id,best_compile_us,sol_us,gap_vs_sol,total_bytes_mb
pointwise_ce7169287d93,4.6,0.0,4377600.15,0.0
pointwise_a942dec89d15,4.9,0.0,2340799.91,0.0
pointwise_100a39b686e3,5.0,0.0,1193200.02,0.0
pointwise_e5d19e73a52c,4.9,0.0,1162800.01,0.0
pointwise_3320bac17d54,4.9,0.0,1155199.95,0.0
pointwise_36d7a6209c54,5.0,0.0,758783.97,0.0
pointwise_41aa929b1bf2,4.8,0.0,71250.0,0.0
pointwise_eaafbb6b8c5a,5.5,0.0,27075.0,0.0
amax_sum_sum_2a28fce37306,5.6,0.0,20189.31,0.0
amax_sum_sum_5829d7f5105f,5.4,0.0,19800.77,0.0
pointwise_bcfec253e455,4.9,0.0,12191.67,0.0
amax_sum_a215204c9264,5.0,0.0,9203.13,0.0
sum_sum_sum_e3016fe2bbb7,6.9,0.0,8462.86,0.0
sum_sum_8f7c059eb6a4,5.2,0.0,6474.81,0.0
sum_d7cc0afd5743,5.3,0.0,5041.36,0.0
pointwise_4e68825d6848,5.0,0.0,4660.94,0.0
sum_sum_8d73a4b5bade,5.2,0.0,3665.88,0.0
pointwise_4e4da02d582f,4.9,0.0,3657.5,0.0
sum_sum_8e96ea244bf1,5.1,0.0,3554.12,0.0
sum_7c50e5b80bfe,7.6,0.0,3499.71,0.0
pointwise_d54fca93c7e1,4.9,0.0,2271.09,0.0
pointwise_0eade0de46c0,4.9,0.0,2256.25,0.0
pointwise_9efa43391431,4.8,0.0,2226.56,0.0
pointwise_f9aca3f32296,5.2,0.0,1911.88,0.0
pointwise_69b13df5a532,5.3,0.0,1652.6,0.0
pointwise_ef7782270e46,5.2,0.0,1603.12,0.0
pointwise_052e3853c721,5.1,0.0,1172.66,0.0
pointwise_6d6e44c3eeb4,4.7,0.0,1091.02,0.0
amax_argmax_sum_5dfabd070411,9.2,0.0,1034.8,0.0
pointwise_4d236bfe44e3,5.0,0.0,1029.17,0.0
any_17b234fd7f4f,5.7,0.0,664.24,0.0
max_448f6b3c8f1d,5.7,0.0,660.39,0.0
pointwise_0ca24eb30c3f,5.5,0.0,642.62,0.0
pointwise_3b19d63866a7,5.5,0.0,633.33,0.0
sum_227d8bbf9311,5.1,0.0,593.75,0.0
pointwise_8aed5a56d560,5.1,0.0,586.33,0.0
pointwise_d9f9b7733ca3,5.0,0.0,582.62,0.0
pointwise_eba0147d8378,5.0,0.0,578.91,0.0
pointwise_b869961e6b54,5.0,0.0,575.2,0.0
pointwise_c35315666858,4.9,0.0,567.77,0.0
pointwise_403020d93ad2,5.7,0.0,531.41,0.0
argmax_amax_sum_fd72c2ef2d40,9.0,0.0,522.19,0.1
amax_sum_sum_6be3e54433a2,7.9,0.0,450.55,0.1
amax_sum_sum_098a3fee06f9,6.8,0.0,391.64,0.1
pointwise_482b0c1952cd,5.7,0.0,317.71,0.1
pointwise_18d9dcca560a,5.0,0.0,291.31,0.1
pointwise_6c03626e988e,5.0,0.0,289.45,0.1
sum_27f326f22f76,9.1,0.0,261.37,0.1
pointwise_34dd8044bfe1,12.0,0.1,231.32,0.2
amax_sum_sum_1458251679be,8.0,0.0,230.5,0.1
pointwise_75795e2c97dd,5.7,0.0,220.18,0.1
pointwise_f26b1736413f,15.1,0.1,194.21,0.3
sum_df75f19c9c7a,9.0,0.1,178.54,0.2
sum_fa194db93388,6.0,0.0,172.81,0.1
pointwise_edfab1af9465,5.8,0.0,171.0,0.1
sum_a963d4e1fcf5,5.7,0.0,165.14,0.1
pointwise_5aafedcd8ca4,5.1,0.0,146.01,0.1
pointwise_7727cefe098e,7.5,0.1,129.2,0.2
pointwise_b43349159514,5.5,0.1,104.62,0.2
sum_sum_sum_72f8a586759c,11.0,0.1,102.02,0.4
pointwise_724b26e60185,5.5,0.1,85.65,0.2
var_mean_2ceed1dd2572,5.8,0.1,84.26,0.3
sum_sum_sum_6b7ff2251678,14.4,0.2,82.15,0.7
var_mean_35394af84f60,5.7,0.1,81.75,0.3
sum_sum_sum_dbc10f22635c,14.2,0.2,80.87,0.7
var_mean_e48f702d6f81,6.0,0.1,80.03,0.3
sum_sum_sum_8faedc560651,9.0,0.1,76.18,0.4
var_mean_a0eecc057fbc,7.8,0.1,73.68,0.4
var_mean_032354ac8a5f,7.8,0.1,73.43,0.4
var_mean_9ded65850d80,7.1,0.1,66.7,0.4
pointwise_f33e2464d32f,7.4,0.1,64.98,0.4
sum_dc057cf6da21,6.1,0.1,58.3,0.4
sum_f72e20801b8a,6.0,0.1,57.99,0.4
sum_39cf4835a913,6.0,0.1,57.69,0.4
var_mean_mean_34a86d931d28,5.8,0.1,55.7,0.4
pointwise_e1a420e661f1,5.8,0.1,55.66,0.4
sum_sum_12bf0466c00c,5.8,0.1,55.4,0.4
sum_sum_7c6679a3489a,5.8,0.1,55.09,0.4
var_mean_var_mean_dcad0ef87d63,5.8,0.1,54.83,0.4
pointwise_05d4844325ca,5.6,0.1,52.92,0.4
var_mean_var_mean_d850ee31d68b,5.9,0.1,51.53,0.4
var_mean_mean_2d18883a5e64,5.9,0.1,50.39,0.4
pointwise_be855b961be7,7.3,0.2,46.96,0.6
sum_22b5cd24890b,6.3,0.1,46.66,0.5
sum_e262d057f3c9,6.0,0.1,44.54,0.5
var_mean_c3179bad0f03,6.9,0.2,44.03,0.6
sum_a630880e528a,9.2,0.2,43.68,0.8
var_mean_d10ed8104f03,6.8,0.2,43.4,0.6
pointwise_d66b13ff6ca0,7.6,0.2,41.76,0.7
pointwise_246850b7c198,5.8,0.1,41.33,0.5
var_mean_any_e86b9ea56684,16.8,0.4,40.43,1.6
sum_5e60905fccb8,7.0,0.2,33.88,0.8
sum_962f7dc019a9,7.0,0.2,33.58,0.8
sum_706f1191d1db,6.9,0.2,33.42,0.8
sum_ca52eb919072,6.8,0.2,32.65,0.8
sum_sum_sum_9e60972dd685,123.9,3.9,31.95,14.7
sum_acbec27412d2,6.1,0.2,29.42,0.8
sum_2b63837952dc,6.0,0.2,28.8,0.8
var_mean_0be1fe6c2ec4,6.0,0.2,28.69,0.8
var_mean_15b838f5d029,5.9,0.2,28.38,0.8
var_mean_4ff28d120f6f,6.0,0.2,28.25,0.8
var_mean_24e1d446bfed,5.9,0.2,28.23,0.8
pointwise_d88c39614b6c,5.9,0.2,28.19,0.8
pointwise_3abc926270f6,5.8,0.2,28.14,0.8
var_mean_d61c9475e968,5.9,0.2,28.08,0.8
var_mean_1b88cfe94b3c,5.8,0.2,27.91,0.8
pointwise_5b4d8d4d06aa,5.8,0.2,27.72,0.8
sum_sum_06ebd69de9aa,6.3,0.3,23.33,1.0
sum_sum_a7f863c76602,6.2,0.3,22.86,1.0
var_mean_mean_626fb0807512,9.2,0.4,21.73,1.6
sum_sum_sum_766837223ded,9.0,0.4,21.62,1.6
sum_sum_sum_d414d9a2b2eb,9.0,0.4,21.62,1.6
pointwise_77c5ae8ad1b9,5.7,0.3,20.49,1.1
pointwise_8f5229eda25a,5.6,0.3,20.16,1.0
pointwise_4ebc1e147929,5.9,0.3,19.07,1.2
pointwise_7517fa77d424,5.9,0.3,18.97,1.2
sum_c89cd4b0ece6,5.9,0.3,18.92,1.2
pointwise_6b84ffe7cd3b,12.2,0.7,17.72,2.6
pointwise_d47c7d477bf3,5.9,0.3,17.16,1.3
var_mean_9f9f7f8de566,6.9,0.4,16.67,1.6
pointwise_7a4083b7e3d1,6.9,0.4,16.27,1.6
mean_453dc6e89dd9,6.7,0.4,15.92,1.6
pointwise_3cfc4c59af74,6.8,0.4,15.88,1.6
pointwise_7314654d3afc,5.9,0.4,14.65,1.5
sum_sum_sum_80113e346555,14.0,1.0,14.31,3.7
pointwise_d76b39ac2742,5.9,0.4,14.15,1.6
pointwise_4ea78562087d,5.7,0.4,13.44,1.6
var_mean_0990c69ae9bb,7.9,0.6,12.68,2.4
var_mean_a4b0facb2977,7.8,0.6,12.53,2.4
pointwise_a2382a85ee99,83.7,6.8,12.25,26.0
amax_sum_351ca37dddb9,6.9,0.6,12.2,2.2
sum_sum_sum_ecba845b8a4b,13.1,1.1,11.84,4.2
pointwise_c6795cc8ece2,14.1,1.2,11.39,4.7
var_mean_ef88cc4744f1,7.0,0.6,11.2,2.4
var_mean_c4eed3e5da72,7.0,0.6,11.18,2.4
var_mean_1fad4754680a,6.9,0.6,11.07,2.4
pointwise_f1d4acfe63b0,7.6,0.7,11.04,2.6
var_mean_bf21b62ff8f8,6.3,0.6,10.14,2.4
var_mean_d22940b03b5c,6.3,0.6,10.14,2.4
pointwise_edf2e0dc44ea,6.9,0.7,10.06,2.6
var_mean_3711a161734e,6.2,0.6,9.99,2.4
var_mean_d8fae237d769,6.2,0.6,9.93,2.4
pointwise_eb5253649308,5.4,0.6,9.82,2.1
pointwise_0decf4e7ecd3,6.0,0.6,9.74,2.4
pointwise_7c7235fc35c3,6.0,0.6,9.69,2.4
pointwise_b9ed7956ee59,5.9,0.6,9.54,2.4
sum_sum_sum_4c5c1859352a,13.2,1.4,9.52,5.3
pointwise_6d6d27100ad9,6.9,0.7,9.49,2.8
pointwise_f5d9e703009c,5.9,0.6,9.48,2.4
pointwise_37c9e37865c1,7.8,0.8,9.46,3.1
sum_bf45c3d8f79e,9.8,1.0,9.45,3.9
sum_ea0933cb9497,9.8,1.0,9.42,3.9
pointwise_2596a9303ec6,14.1,1.6,9.11,5.9
pointwise_bd6cd7133361,14.1,1.6,9.07,5.9
pointwise_6b333f661800,2.8,0.3,8.97,1.2
sum_6080543764bd,10.0,1.1,8.95,4.3
pointwise_75503c474ccc,29.6,3.3,8.93,12.6
pointwise_531d72f1b34a,501.6,56.3,8.92,213.8
sum_08d094f67bb4,7.8,0.9,8.67,3.4
pointwise_49ac8c44e9b1,6.0,0.7,8.63,2.6
sum_sum_sum_e4f9a61a4b53,13.8,1.7,8.28,6.3
var_mean_c408b9eb8855,10.2,1.2,8.23,4.7
var_mean_mean_188f42114f68,10.1,1.3,8.08,4.8
sum_sum_sum_728df9734dbe,13.2,1.7,7.9,6.4
var_mean_48d3414b7305,11.1,1.4,7.64,5.5
var_mean_12542e903d57,11.0,1.4,7.62,5.5
sum_sum_3219a09ab96a,411.6,54.3,7.58,206.3
pointwise_1383c536f620,18.3,2.4,7.54,9.2
var_mean_0dc1c0150d30,18.4,2.5,7.41,9.4
pointwise_1d416376ef2f,12.3,1.7,7.4,6.3
pointwise_e129f028e0b8,6.1,0.8,7.34,3.1
pointwise_f9f5fb61c369,6.1,0.8,7.34,3.1
pointwise_a5ce2f1040ee,16.1,2.2,7.25,8.4
sum_sum_3c5efeeb4188,9.1,1.3,7.24,4.8
sum_30185a37715e,9.8,1.4,7.11,5.2
pointwise_a12dc8b8a059,15.6,2.2,7.06,8.4
amax_sum_7e55413cb344,139.5,20.0,6.96,76.2
pointwise_b8e2463e8d92,14.0,2.0,6.95,7.6
sum_c181ecbfc1ec,9.6,1.4,6.93,5.2
pointwise_c5d1c9bcad0e,5.7,0.8,6.92,3.1
sum_sum_sum_04ff2f31b226,19.2,2.8,6.79,10.8
pointwise_c0e132c66e3b,23.5,3.5,6.73,13.3
any_mean_33b10ff8a837,11.1,1.7,6.72,6.3
any_mean_fde44ec669a9,11.1,1.7,6.72,6.3
any_mean_6b05ef27be02,11.1,1.7,6.69,6.3
sum_60071d2e71f2,11.1,1.7,6.69,6.3
pointwise_9478357f37a0,12.0,1.8,6.68,6.8
pointwise_976768b988b8,23.5,3.5,6.64,13.4
any_mean_38ea597e5c87,11.0,1.7,6.63,6.3
pointwise_d619d8716902,15.4,2.3,6.63,8.8
var_mean_mean_fd0f75820e35,14.3,2.2,6.6,8.2
sum_sum_sum_6a2ad206248c,119.7,18.3,6.53,69.7
var_mean_9d1c4396c2c8,7.3,1.1,6.53,4.2
pointwise_556aac88a856,13.7,2.1,6.49,8.0
var_mean_23f0e798b604,12.1,1.9,6.49,7.1
var_mean_b6092fb107d0,7.7,1.2,6.49,4.5
mean_d3f53feea982,11.1,1.7,6.45,6.6
var_mean_2aeefcdb8c7b,12.0,1.9,6.44,7.1
pointwise_406123b029db,6.1,0.9,6.41,3.6
var_mean_810878ea0ac7,7.6,1.2,6.41,4.5
var_mean_045455ff6e84,7.1,1.1,6.38,4.2
var_mean_7cebda5b34ee,7.0,1.1,6.36,4.2
pointwise_7e9403871aac,12.0,1.9,6.32,7.2
var_mean_d61716dfd9dd,7.0,1.1,6.32,4.2
mean_3bee65342664,7.0,1.1,6.31,4.2
mean_f859bb8c0f42,13.5,2.2,6.26,8.2
pointwise_9267d93b08b3,6.9,1.1,6.26,4.2
pointwise_b51064ab890f,6.9,1.1,6.26,4.2
mean_5ccd045f4193,10.1,1.6,6.23,6.1
mean_c324cfc06a94,12.1,1.9,6.23,7.4
sum_12b455c3b1b0,25.6,4.1,6.18,15.7
var_mean_327c3b97bf10,6.8,1.1,6.17,4.2
sum_sum_sum_cd47d7ca4703,151.4,24.9,6.08,94.6
mean_7b48b0105aea,11.4,1.9,6.01,7.2
amax_sum_9940b361e5b4,265.1,44.7,5.93,169.9
pointwise_a14dcfc06344,353.1,59.8,5.9,227.3
mean_9c0fd9fb28b1,6.6,1.1,5.88,4.3
sum_bc4a942a8c4f,141.1,24.1,5.86,91.5
pointwise_ef9ca88fea46,7.2,1.2,5.82,4.7
mean_fb3bbfd51007,6.4,1.1,5.8,4.2
pointwise_2cb944a69993,9.6,1.7,5.8,6.3
pointwise_d6f684372ab8,6.3,1.1,5.74,4.2
var_mean_d3e9f404842a,21.4,3.7,5.72,14.2
sum_9fb0f8852874,7.9,1.4,5.71,5.3
var_mean_a5d43c43648a,14.6,2.6,5.64,9.8
pointwise_13bd7be3bbab,18.5,3.3,5.6,12.6
var_mean_e3c259686c7b,20.6,3.7,5.51,14.2
sum_7ee057acd9bc,446.3,81.4,5.48,309.5
var_mean_2743dc883057,20.4,3.7,5.45,14.2
amax_sum_67d7c2666a5c,215.1,39.7,5.41,151.0
pointwise_dd7f99ce5ccb,6.0,1.1,5.38,4.2
var_mean_280a583d97c6,8.9,1.7,5.37,6.3
var_mean_var_mean_6d7a29cb97f1,442.1,84.5,5.23,321.1
var_mean_41a46a395e3a,21.3,4.1,5.15,15.7
pointwise_083e5f8c7cdc,17.5,3.4,5.13,13.0
pointwise_55a3cc897c83,90.0,17.7,5.09,67.2
pointwise_604e62335f7c,8.0,1.6,5.05,6.0
pointwise_2cb3b25427b0,11.1,2.2,5.03,8.4
pointwise_acbdd607c506,11.1,2.2,5.03,8.4
pointwise_22e33c17817c,6.9,1.4,4.99,5.2
pointwise_1cedd96f5faf,6.8,1.4,4.94,5.2
var_mean_36eed06607f1,24.6,5.0,4.94,18.9
var_mean_2f7685c1567b,30.5,6.2,4.91,23.6
pointwise_c7ec34b2837b,6.8,1.4,4.89,5.2
sum_8a66186d1ffe,148.4,30.4,4.88,115.6
var_mean_19d5741628ce,20.2,4.1,4.86,15.8
pointwise_072bc7c9b68c,6.6,1.4,4.8,5.2
any_mean_417d9efb98a0,11.9,2.5,4.78,9.4
pointwise_03cf69441b22,42.0,9.0,4.66,34.2
pointwise_e63526b438e7,7.7,1.7,4.64,6.3
var_mean_bb7b5fefc1d5,22.5,4.9,4.62,18.5
pointwise_f9c1d1b08ddb,311.2,67.8,4.59,257.6
var_mean_598830735cf6,162.8,35.5,4.59,134.9
pointwise_437415a3398d,169.8,37.2,4.57,141.3
sum_14fe7b321763,275.5,60.8,4.53,231.2
pointwise_5d7c3bd1f499,9.9,2.2,4.48,8.4
sum_sum_sum_26d1711c064d,152.7,34.2,4.47,129.8
pointwise_c2dc9d900d36,11.0,2.5,4.43,9.4
pointwise_e4cfa8694326,54.1,12.3,4.42,46.6
pointwise_2eae25328292,54.0,12.3,4.41,46.6
var_mean_mean_08131211a12e,15.2,3.5,4.4,13.1
pointwise_f2df04089ff4,81.7,18.6,4.39,70.6
pointwise_6d842b54b40d,256.8,59.8,4.29,227.3
mean_7639bfb9be38,16.0,3.7,4.27,14.2
pointwise_72ba9dfd2891,16.2,3.8,4.26,14.5
pointwise_1ca80bdfba30,7.1,1.7,4.25,6.4
sum_sum_e9338369070e,107.6,25.4,4.24,96.3
sum_sum_sum_17d1ea77dce0,251.8,59.7,4.22,227.0
pointwise_9edaf9e5b4c4,6.9,1.7,4.19,6.3
var_mean_3eaa1c7a7442,6.9,1.7,4.17,6.3
var_mean_edac0b24cfa0,6.9,1.7,4.17,6.3
mean_2ee5edb89c2f,6.9,1.7,4.15,6.3
mean_ddf2440c0a00,17.9,4.3,4.14,16.4
var_mean_d158ce08e24a,20.5,5.0,4.12,18.9
pointwise_a5d52cc24f84,6.8,1.7,4.09,6.3
amax_sum_5f0c26b7e967,144.3,35.3,4.08,134.2
var_mean_mean_e5a5cf78a7cf,22.9,5.6,4.08,21.3
sum_sum_sum_8ffe5090cf87,37.7,9.3,4.06,35.2
pointwise_644fbe16a3f2,8.9,2.2,4.03,8.4
mean_mean_1b98d81214e6,26.5,6.6,3.99,25.2
mean_mean_50d3de630629,30.8,7.7,3.98,29.4
sum_sum_0653152b5266,29.7,7.5,3.98,28.3
var_mean_1c7b809d512d,10.1,2.6,3.95,9.7
mean_c14e4442750c,6.5,1.7,3.94,6.3
pointwise_073278de7552,10.0,2.6,3.94,9.7
pointwise_d9e050ab21ca,7.6,1.9,3.94,7.4
sum_sum_sum_4fdc0c9d691f,20.1,5.1,3.92,19.4
pointwise_57287c224f10,19.8,5.1,3.91,19.3
pointwise_79b3932ba286,8.1,2.1,3.91,7.9
var_mean_f8560e5925aa,18.0,4.7,3.88,17.7
var_mean_4581dbce69e5,17.1,4.4,3.85,16.9
pointwise_9947dfa4af2d,7.8,2.1,3.79,7.9
sum_7953a8b0bbba,12.2,3.2,3.78,12.3
var_mean_bff30f530d6e,16.0,4.2,3.78,16.1
var_mean_de5dfb8583e7,7.0,1.9,3.78,7.1
var_mean_9c26314b1282,7.0,1.9,3.77,7.1
var_mean_1f499ddad801,19.4,5.2,3.76,19.6
pointwise_fe3b8dac57c4,7.8,2.1,3.74,7.9
var_mean_c0993161a0af,15.7,4.2,3.72,16.1
var_mean_6084e124876c,18.3,5.0,3.69,18.9
sum_d657e5a1c5df,13.1,3.6,3.66,13.6
var_mean_mean_8d6fc761298a,31.6,8.6,3.66,32.8
pointwise_96ec527020cd,26.2,7.2,3.65,27.3
sum_cb19b2c26400,12.1,3.3,3.64,12.6
amax_sum_sum_031b4da8fbb0,13.9,3.8,3.63,14.5
pointwise_557274333bb2,15.2,4.2,3.59,16.1
sum_4de5b759d4d1,14.0,3.9,3.58,14.8
var_mean_e92ed08dee3a,23.5,6.7,3.52,25.3
var_mean_var_mean_mean_93065d5c677b,26.2,7.5,3.5,28.5
sum_sum_f669fb74a93c,15.4,4.4,3.49,16.8
var_mean_e44de9a60b6b,24.5,7.0,3.48,26.8
mean_5c93e9826aa8,62.1,17.9,3.46,68.2
pointwise_6a5649feb1f2,26.4,7.6,3.46,28.9
sum_sum_67d7103962e7,140.2,40.6,3.46,154.1
var_mean_var_mean_73e1a842318f,43.9,12.7,3.46,48.2
sum_sum_9c8d365c6ff7,11.4,3.3,3.45,12.6
pointwise_1c65af29b270,7.1,2.1,3.43,7.9
var_mean_mean_e8eb2875e359,19.3,5.6,3.43,21.3
mean_d0fc206717a8,61.2,17.9,3.41,68.2
mean_148ad2fc17ca,29.3,8.6,3.4,32.8
mean_90c4736187a1,11.5,3.4,3.36,13.0
sum_096e9f1570b5,11.2,3.3,3.34,12.7
mean_b22538109e2c,25.5,7.7,3.33,29.1
sum_5a4992885bd6,188.2,56.5,3.33,214.6
pointwise_226a109e3e14,9.1,2.8,3.3,10.5
var_mean_d30f3928376b,9.1,2.8,3.3,10.5
var_mean_var_mean_var_mean_9267280d8024,59.3,17.9,3.3,68.2
sum_mean_6ea3cb4a159b,11.2,3.4,3.29,12.9
var_mean_0a0eec8ae477,28.7,8.7,3.29,33.1
var_mean_var_mean_var_mean_0407b3e7c77f,196.5,59.8,3.28,227.3
var_mean_94d545103c46,7.2,2.2,3.26,8.4
